generation,best_score,avg_score,diversity
0,-1022.6625,-1022.6625,0.00
50,426.2375,395.5664,0.00
51,426.2375,396.1562,0.00
52,426.2375,387.0570,0.00
53,426.2375,387.7825,0.00
54,426.2375,379.1664,0.00
55,426.2375,370.8579,0.00
56,426.2375,371.8295,0.00
57,426.2375,370.7792,0.00
58,426.2375,369.7645,0.00
59,426.2375,362.1667,0.00
60,426.2375,363.2170,0.00
61,426.2375,355.9699,0.00
62,426.2375,348.9528,0.00
63,426.2375,350.1604,0.00
64,426.2375,351.3308,0.00
65,426.2375,352.4657,0.00
66,426.2375,353.5668,0.00
67,426.2375,347.1010,0.00
68,426.2375,348.2479,0.00
69,426.2375,342.0429,0.00
70,426.2375,343.2287,0.00
71,426.2375,337.2657,0.00
72,426.2375,338.4845,0.00
73,426.2375,339.6704,0.00
74,426.2375,340.8246,0.00
75,426.2375,341.9484,0.00
76,426.2375,336.3893,0.00
77,426.2375,337.5412,0.00
78,426.2375,338.6639,0.00
79,426.2375,339.7586,0.00
80,426.2375,340.8262,0.00
81,426.2375,341.8678,0.00
82,426.2375,342.8843,0.00
83,426.2375,343.8766,0.00
84,426.2375,338.8180,0.00
85,426.2375,339.8345,0.00
86,426.2375,340.8277,0.00
87,426.2375,341.7982,0.00
88,426.2375,342.7470,0.00
89,426.2375,343.6747,0.00
90,426.2375,344.5819,0.00
91,426.2375,344.2160,0.00
92,426.2375,339.5888,0.00
93,426.2375,340.5106,0.00
94,426.2375,341.4130,0.00
95,426.2375,336.9597,0.00
96,426.2375,332.5982,0.00
97,426.2375,333.5537,0.00
98,426.2375,334.4899,0.00
99,426.2375,335.4074,0.00
100,426.2375,336.3067,0.00
100,426.2375,336.3067,0.00
101,426.2375,337.4485,19.83
102,426.2375,338.3190,19.83
103,426.2375,339.1726,19.83
104,426.2375,340.0097,19.83
105,426.2375,335.9515,19.83
106,426.2375,336.8032,19.83
107,426.2375,332.8508,33.23
108,426.2375,328.9716,33.23
109,426.2375,325.1635,33.23
110,426.2375,321.4247,33.23
111,426.2375,322.3690,33.23
112,426.2375,323.2964,33.23
113,426.2375,319.6733,33.23
114,426.2375,316.1139,33.23
115,426.2375,312.6163,33.23
116,426.2375,309.1790,33.23
117,426.2375,305.8005,33.23
118,426.2375,302.4793,33.23
119,426.2375,303.5193,33.23
120,426.2375,300.2724,33.23
121,426.2375,300.3603,33.23
122,426.2375,297.1926,33.23
123,426.2375,294.0763,33.23
124,426.2375,291.0103,23.68
125,426.2375,287.9934,23.68
126,426.2375,285.0244,23.68
127,426.2375,282.1021,23.68
128,426.2375,279.2254,23.68
129,426.2375,280.3651,23.68
130,426.2375,277.5461,23.68
131,426.2375,278.6811,23.68
132,426.2375,275.9176,23.68
133,426.2375,276.1807,23.68
134,426.2375,273.4771,23.68
135,426.2375,270.8135,23.68
136,426.2375,268.1891,23.68
137,426.2375,265.6030,23.68
138,426.2375,263.0543,23.68
139,426.2375,260.5424,23.68
140,426.2375,258.0663,23.68
141,426.2375,255.6254,23.68
142,426.2375,253.2188,23.68
143,426.2375,250.1661,23.68
144,426.2375,247.8309,23.68
145,426.2375,245.5278,23.68
146,426.2375,243.2564,23.68
147,426.2375,241.0158,23.68
148,426.2375,238.8055,23.68
149,426.2375,236.3992,23.68
150,426.2375,234.2491,23.68
151,426.2375,232.1276,23.68
152,426.2375,230.0339,23.68
153,426.2375,227.9676,23.68
154,426.2375,225.9282,23.68
155,426.2375,227.2205,23.68
156,426.2375,225.2120,23.68
157,426.2375,223.2291,23.68
158,426.2375,221.2713,23.68
159,426.2375,219.3381,23.68
160,426.2375,220.6312,23.68
161,426.2375,221.9083,23.68
162,426.2375,223.1696,23.68
163,426.2375,221.2722,23.68
164,426.2375,222.5220,23.68
165,426.2375,220.6515,23.68
166,426.2375,218.8035,23.68
167,426.2375,216.9777,23.68
168,426.2375,215.1737,23.68
169,426.2375,213.3909,23.68
170,426.2375,211.6292,23.68
171,426.2375,209.8880,23.68
