generation,best_score,avg_score,diversity
0,7164.5500,7164.5500,0.00
50,7164.5500,6895.8679,7.40
51,7164.5500,6768.3458,9.38
52,7164.5500,6775.8213,9.38
53,7164.5500,6783.0200,9.38
54,7164.5500,6789.9569,9.38
55,7164.5500,6796.6461,9.38
56,7164.5500,6803.1005,9.38
57,7164.5500,6809.3324,9.38
58,7164.5500,6815.3531,54.52
59,7164.5500,6821.1730,54.52
60,7164.5500,6826.8022,54.52
61,7164.5500,6832.2497,54.52
62,7164.5500,6837.5243,54.52
63,7164.5500,6842.6341,54.52
64,7164.5500,6847.5866,54.52
65,7164.5500,6852.3891,54.52
66,7164.5500,6857.0482,54.52
67,7164.5500,6861.5703,54.52
68,7164.5500,6865.9613,54.52
69,7164.5500,6766.6461,54.52
70,7164.5500,6772.2504,54.52
71,7164.5500,6777.6990,54.52
72,7164.5500,6782.9983,54.52
73,7164.5500,6788.1544,54.52
74,7164.5500,6793.1730,54.52
75,7164.5500,6798.0595,54.52
76,7164.5500,6802.8192,54.52
77,7164.5500,6807.4567,100.97
78,7164.5500,6811.9769,100.97
79,7164.5500,6816.3841,100.97
80,7164.5500,6820.6824,90.58
81,7164.5500,6824.8759,90.58
82,7164.5500,6828.9684,90.58
83,7164.5500,6832.9634,90.58
84,7164.5500,6836.8644,90.58
85,7164.5500,6840.6747,90.58
86,7164.5500,6844.3974,90.58
87,7164.5500,6848.0355,90.58
88,7164.5500,6851.5919,90.58
89,7164.5500,6855.0692,90.58
90,7164.5500,6858.4701,90.58
91,7164.5500,6861.7970,90.58
92,7164.5500,6865.0524,90.58
93,7164.5500,6868.2386,90.58
94,7164.5500,6826.5514,90.58
95,7164.5500,6830.0722,90.58
96,7164.5500,6833.5204,90.58
97,7164.5500,6793.4636,90.58
98,7164.5500,6723.9730,90.58
99,7164.5500,6728.3788,90.58
100,7164.5500,6732.6973,90.58
100,7164.5500,6732.6973,90.58
101,7164.5500,6736.9312,90.58
102,7164.5500,6741.0828,90.58
103,7164.5500,6745.1546,66.70
104,7164.5500,6749.1489,66.70
105,7164.5500,6684.6653,66.70
106,7164.5500,6689.1502,66.70
107,7164.5500,6693.5521,66.70
108,7164.5500,6631.3534,66.70
109,7164.5500,6636.2006,66.70
110,7164.5500,6640.9605,66.70
111,7164.5500,6645.6354,66.70
112,7164.5500,6584.2492,66.70
113,7164.5500,6528.8650,66.70
114,7164.5500,6534.3927,66.70
115,7164.5500,6503.1303,66.70
116,7164.5500,6453.2749,66.70
117,7164.5500,6459.3026,66.70
118,7164.5500,6465.2291,66.70
119,7164.5500,6416.9130,66.70
120,7164.5500,6423.0918,66.70
121,7164.5500,6372.6603,66.70
122,7164.5500,6379.0984,66.70
123,7164.5500,6385.4327,66.70
124,7164.5500,6337.1588,66.70
125,7164.5500,6288.2666,66.70
126,7164.5500,6241.0086,66.70
127,7164.5500,6190.5067,66.70
128,7164.5500,6198.0574,66.70
129,7164.5500,6153.6588,66.70
130,7164.5500,6108.6337,66.70
131,7164.5500,6060.6650,66.70
132,7164.5500,6014.4487,66.70
133,7164.5500,5968.8797,66.70
134,7164.5500,5923.0122,66.70
135,7164.5500,5877.4700,66.70
136,7164.5500,5833.9402,66.70
137,7164.5500,5790.9608,66.70
138,7164.5500,5747.6932,66.70
139,7164.5500,5757.8136,66.70
140,7164.5500,5767.7904,66.70
141,7164.5500,5726.5658,66.70
142,7164.5500,5684.9588,66.70
143,7164.5500,5647.2533,66.70
144,7164.5500,5647.4695,66.70
145,7164.5500,5606.6544,66.70
146,7164.5500,5567.6629,109.70
147,7164.5500,5532.6872,109.70
148,7164.5500,5494.7224,109.70
149,7164.5500,5460.2021,109.70
150,7164.5500,5471.5644,109.70
151,7164.5500,5437.0820,109.70
152,7164.5500,5400.6720,109.70
153,7164.5500,5364.7381,109.70
154,7164.5500,5329.3430,109.70
155,7164.5500,5294.4046,109.70
156,7164.5500,5263.1984,109.70
157,7164.5500,5227.9505,109.70
158,7164.5500,5240.2074,109.70
159,7164.5500,5252.3102,109.70
160,7164.5500,5214.6004,109.70
161,7164.5500,5183.7978,109.70
162,7164.5500,5154.4301,109.70
163,7164.5500,5126.9186,109.70
164,7164.5500,5094.5391,109.70
165,7164.5500,5063.1412,109.70
166,7164.5500,5034.7560,109.70
167,7164.5500,5047.5092,109.70
168,7164.5500,5016.8858,107.83
169,7164.5500,4985.8642,107.83
170,7164.5500,4958.0928,107.83
171,7164.5500,4924.5293,107.83
172,7164.5500,4897.9402,107.83
173,7164.5500,4870.8219,107.83
174,7164.5500,4838.3387,107.83
175,7164.5500,4806.2268,107.83
176,7164.5500,4777.6853,107.83
177,7164.5500,4777.7485,109.70
178,7164.5500,4749.4944,109.70
179,7164.5500,4749.8438,109.70
180,7164.5500,4763.4096,109.70
181,7164.5500,4776.8237,109.70
182,7164.5500,4790.0889,109.70
183,7164.5500,4803.2075,109.70
184,7164.5500,4803.9310,127.83
185,7164.5500,4779.2505,127.83
186,7164.5500,4748.8652,127.83
187,7164.5500,4721.8429,127.83
188,7164.5500,4735.0468,127.83
189,7164.5500,4708.0249,127.83
190,7164.5500,4683.7934,99.17
191,7164.5500,4658.4216,99.17
192,7164.5500,4580.8691,99.17
193,7164.5500,4556.3061,99.17
194,7164.5500,4569.9618,99.17
195,7164.5500,4547.5236,99.17
196,7164.5500,4519.9133,99.17
197,7164.5500,4495.4641,99.17
198,7164.5500,4471.9688,99.17
199,7164.5500,4451.3274,99.17
200,7164.5500,4428.2947,99.17
200,7164.5500,4428.2947,99.17
201,7164.5500,4442.1142,99.17
202,7164.5500,4369.5407,99.17
203,7164.5500,4347.2625,99.17
204,7164.5500,4325.2059,99.17
205,7164.5500,4327.6621,99.17
206,7164.5500,4328.8751,99.17
207,7164.5500,4342.9131,99.17
208,7164.5500,4320.4197,99.17
209,7164.5500,4320.4603,99.17
210,7164.5500,4301.0031,99.17
