generation,best_score,avg_score,diversity
0,-767.4275,-767.4275,0.00
50,-223.2338,-742.4181,18.43
51,-223.2338,-742.7093,18.43
52,-223.2338,-742.8906,18.43
53,-223.2338,-743.0947,18.43
54,-223.2338,-743.3324,18.43
55,-223.2338,-743.5160,18.43
56,-223.2338,-743.7474,18.43
57,-223.2338,-737.9374,18.43
58,-223.2338,-738.2229,18.43
59,-223.2338,-729.1880,18.43
60,-223.2338,-729.6153,18.43
61,-223.2338,-729.6084,18.43
62,-223.2338,-730.0165,18.43
63,-223.2338,-730.4000,18.43
64,-223.2338,-730.7790,18.43
65,-223.2338,-730.7502,18.43
66,-223.2338,-731.1374,18.43
67,-223.2338,-723.0754,31.27
68,-223.2338,-726.7587,38.45
69,-223.2338,-727.1719,38.45
70,-223.2338,-727.5711,38.45
71,-223.2338,-725.1455,38.45
72,-223.2338,-725.1304,38.45
73,-223.2338,-725.5489,38.45
74,-223.2338,-725.9724,38.45
75,-223.2338,-726.3666,22.82
76,-223.2338,-726.7491,22.82
77,-223.2338,-726.7212,22.82
78,-223.2338,-727.1150,22.82
79,-223.2338,-727.4569,22.82
80,-223.2338,-727.4560,22.82
81,-223.2338,-727.7917,22.82
82,-223.2338,-728.1410,22.82
83,-223.2338,-721.5029,22.82
84,-223.2338,-721.9283,22.82
85,-86.4988,-713.7818,22.82
86,-86.4988,-714.2948,6.80
87,-86.4988,-714.8093,6.80
88,-86.4988,-714.8022,22.82
89,-86.4988,-714.7507,22.82
90,-86.4988,-715.2454,22.82
91,-86.4988,-715.6945,22.82
92,-86.4988,-716.1559,22.82
93,-86.4988,-708.6627,22.82
94,-86.4988,-709.1817,22.82
95,-86.4988,-709.6991,22.82
96,-86.4988,-710.2114,22.82
97,-86.4988,-710.6810,22.82
98,-86.4988,-711.1542,22.82
99,-86.4988,-711.6136,22.82
100,-86.4988,-712.0742,22.82
100,-86.4988,-712.0742,22.82
101,-86.4988,-712.4954,22.82
102,-86.4988,-712.9208,22.82
103,-86.4988,-713.3318,22.82
104,-86.4988,-713.7631,22.82
105,-86.4988,-714.1645,22.82
106,-86.4988,-714.5651,22.82
107,-86.4988,-714.9528,22.82
108,-86.4988,-715.3203,22.82
109,-86.4988,-715.7023,22.82
110,-86.4988,-716.0891,22.82
111,-86.4988,-716.4463,22.82
112,-86.4988,-716.8036,6.80
113,-86.4988,-712.0617,6.80
114,-86.4988,-712.0595,6.80
115,-86.4988,-712.4475,6.80
116,-86.4988,-707.4558,6.80
117,-86.4988,-702.5636,6.80
118,-86.4988,-697.7600,6.80
119,-86.4988,-697.7579,6.80
120,-86.4988,-693.4083,6.80
121,-86.4988,-693.4062,6.80
122,-86.4988,-688.7752,6.80
123,-86.4988,-684.5829,6.80
124,-86.4988,-684.5812,6.80
125,-86.4988,-680.4657,6.80
126,-86.4988,-676.4230,6.80
127,-86.4988,-677.0974,6.80
128,-86.4988,-677.7557,6.80
129,-86.4988,-677.7360,6.80
130,-86.4988,-678.3769,6.80
131,-86.4988,-674.1495,6.80
132,-86.4988,-674.8179,6.80
133,-86.4988,-671.0265,20.60
134,-86.4988,-671.0245,20.60
135,-86.4988,-669.6520,20.60
136,-86.4988,-670.3390,20.60
137,-86.4988,-666.6743,20.60
138,-86.4988,-666.6743,20.60
139,-86.4988,-742.5549,20.60
140,-86.4988,-742.6516,20.60
141,-86.4988,-737.4078,20.60
142,-86.4988,-732.2491,20.60
143,471.4962,-727.8151,20.60
144,471.4962,-728.0177,20.60
145,471.4962,-728.2223,20.60
146,471.4962,-728.4184,18.42
147,471.4962,-728.4015,18.42
148,471.4962,-723.8815,18.42
149,471.4962,-720.0598,18.42
150,471.4962,-720.3168,18.42
151,471.4962,-718.7825,18.42
