generation,best_score,avg_score,diversity
0,1599.7549,1599.7549,0.00
50,1599.7549,1599.7549,0.00
51,1599.7549,1599.7549,0.00
52,1599.7549,1599.7549,0.00
53,1599.7549,1599.7549,0.00
54,1599.7549,1599.7549,0.00
55,1599.7549,1579.2244,0.00
56,1599.7549,1559.4142,0.00
57,1599.7549,1540.2872,0.00
58,1599.7549,1521.8085,0.00
59,1599.7549,1523.1076,0.00
60,1599.7549,1524.3642,0.00
61,1599.7549,1507.0364,0.00
62,1599.7549,1490.2588,0.00
63,1599.7549,1474.0055,0.00
64,1599.7549,1475.9401,0.00
65,1599.7549,1460.3962,0.00
66,1599.7549,1445.3164,0.00
67,1599.7549,1430.6800,0.00
68,1599.7549,1416.4679,0.00
69,1599.7549,1402.6619,0.00
70,1599.7549,1389.2448,16.63
71,1599.7549,1392.1685,16.63
72,1599.7549,1379.2627,16.63
73,1599.7549,1382.2424,16.63
74,1599.7549,1369.8131,16.63
75,1599.7549,1372.8386,16.63
76,1599.7549,1360.8543,16.63
77,1599.7549,1349.1773,16.63
78,1599.7549,1337.7959,16.63
79,1599.7549,1326.6990,16.63
80,1599.7549,1330.0700,16.63
81,1599.7549,1319.3380,16.63
82,1599.7549,1308.8646,16.63
83,1599.7549,1298.6406,16.63
84,1599.7549,1288.6571,16.63
85,1599.7549,1278.9058,16.63
86,1599.7549,1269.3787,16.63
87,1599.7549,1260.0681,16.63
88,1599.7549,1250.9667,16.63
89,1599.7549,1242.0676,16.63
90,1599.7549,1245.9982,16.63
91,1599.7549,1237.3466,16.63
92,1599.7549,1241.2434,16.63
93,1599.7549,1232.8265,16.63
94,1599.7549,1224.5867,16.63
95,1599.7549,1228.4947,16.63
95,1599.7549,1228.4947,16.63
96,1599.7549,1220.4694,16.63
97,1599.7549,1224.3397,16.63
98,1599.7549,1228.1317,16.63
99,1599.7549,1220.3509,16.63
100,1599.7549,1212.7241,16.63
101,1599.7549,1205.2469,16.63
102,1599.7549,1209.0770,16.63
103,1599.7549,1201.7787,16.63
104,1599.7549,1205.5689,16.63
105,1599.7549,1209.2876,16.63
106,1599.7549,1198.8013,16.63
